date,roi,value,index
2020-01-01,roi1,0.6770596807264002,GNDVI
2020-02-01,roi1,0.6541017230548819,GNDVI
2020-03-01,roi1,-0.017649107129650836,GNDVI
2020-04-01,roi1,0.5969909621531225,GNDVI
2020-05-01,roi1,0.6120012336190027,GNDVI
2020-06-01,roi1,0.5455935849852106,GNDVI
2020-07-01,roi1,0.5910068881966136,GNDVI
2020-08-01,roi1,0.5798807465036755,GNDVI
2020-09-01,roi1,0.6172956947509265,GNDVI
2020-10-01,roi1,0.5674105455276928,GNDVI
2020-11-01,roi1,0.5315499972549934,GNDVI
2020-12-01,roi1,0.6188208999195336,GNDVI
2021-01-01,roi1,0.6299371999351788,GNDVI
2021-02-01,roi1,0.4535675092291459,GNDVI
2021-03-01,roi1,0.3711935893848757,GNDVI
2021-04-01,roi1,0.6134953234527499,GNDVI
2021-05-01,roi1,0.6230929773329111,GNDVI
2021-06-01,roi1,0.6283245345628024,GNDVI
2021-07-01,roi1,0.6081945166661296,GNDVI
2021-08-01,roi1,0.4971156946560142,GNDVI
2021-09-01,roi1,0.5046970217329856,GNDVI
2021-10-01,roi1,0.4551255236673542,GNDVI
2021-11-01,roi1,0.5789293444940494,GNDVI
2021-12-01,roi1,0.6045947026474852,GNDVI
2022-01-01,roi1,0.6117208849857534,GNDVI
2022-02-01,roi1,0.5320588303432597,GNDVI
2022-03-01,roi1,0.5929930332714337,GNDVI
2022-04-01,roi1,0.6032857983115485,GNDVI
2022-05-01,roi1,0.609004342138703,GNDVI
2022-06-01,roi1,0.6287620952419604,GNDVI
2022-07-01,roi1,0.6212536616854051,GNDVI
2022-08-01,roi1,0.6458220093386463,GNDVI
2022-09-01,roi1,0.6163167263632753,GNDVI
2022-10-01,roi1,0.01172795742991911,GNDVI
2022-11-01,roi1,0.35430570276708495,GNDVI
2022-12-01,roi1,0.3454184656055177,GNDVI
2023-01-01,roi1,0.34380713907102683,GNDVI
2023-02-01,roi1,0.34075671335118973,GNDVI
2023-03-01,roi1,0.33291574589626066,GNDVI
2023-04-01,roi1,0.34685395932762936,GNDVI
2023-05-01,roi1,0.38180025963218817,GNDVI
2023-06-01,roi1,0.4197490016586221,GNDVI
2023-07-01,roi1,0.4093397485386915,GNDVI
2023-08-01,roi1,0.4061258713705288,GNDVI
2023-09-01,roi1,0.40738387285234745,GNDVI
2023-10-01,roi1,0.4187962697760058,GNDVI
2023-11-01,roi1,0.42123218550023994,GNDVI
2023-12-01,roi1,0.41771153253183685,GNDVI
2024-01-01,roi1,0.31995139061344946,GNDVI
2024-02-01,roi1,0.3671095421739246,GNDVI
2024-03-01,roi1,0.3939839361444662,GNDVI
2024-04-01,roi1,0.3809918709852935,GNDVI
2024-05-01,roi1,0.2285712599542521,GNDVI
2024-06-01,roi1,0.40237002307524605,GNDVI
2024-07-01,roi1,0.3767332091667997,GNDVI
2024-08-01,roi1,0.3191884299670301,GNDVI
2017-01-01,roi2,0.5900842961122094,GNDVI
2017-02-01,roi2,0.6210828451345762,GNDVI
2017-03-01,roi2,0.6378661104917692,GNDVI
2017-04-01,roi2,0.6576326350363779,GNDVI
2017-05-01,roi2,0.6349797263532257,GNDVI
2017-06-01,roi2,0.6218629359691971,GNDVI
2017-07-01,roi2,0.6100807917822798,GNDVI
2017-08-01,roi2,0.5937138141758984,GNDVI
2017-09-01,roi2,0.5701700747013851,GNDVI
2017-10-01,roi2,0.6004438256321076,GNDVI
2017-11-01,roi2,0.6013932184476743,GNDVI
2017-12-01,roi2,0.6062357528670822,GNDVI
2018-01-01,roi2,0.593136841673098,GNDVI
2018-02-01,roi2,0.5056211843629614,GNDVI
2018-03-01,roi2,0.59088393937097,GNDVI
2018-04-01,roi2,0.6215833414479474,GNDVI
2018-05-01,roi2,0.6773670646987279,GNDVI
2018-06-01,roi2,0.574860328866581,GNDVI
2018-07-01,roi2,0.6112054469461723,GNDVI
2018-08-01,roi2,0.5996440219254162,GNDVI
2018-09-01,roi2,0.5848062601080785,GNDVI
2018-10-01,roi2,0.6344777802374966,GNDVI
2018-11-01,roi2,0.6282576039634656,GNDVI
2018-12-01,roi2,0.6691138430544147,GNDVI
2019-01-01,roi2,0.6557595521247057,GNDVI
2019-02-01,roi2,0.6411644912286647,GNDVI
2019-03-01,roi2,0.5874290709592247,GNDVI
